Date,Open,High,Low,Close,Adj Close,Volume
2022-05-06,49.150002,49.840000,48.849998,49.330002,48.056061,21743900
2022-05-09,49.000000,49.419998,48.669998,48.959999,47.695618,22421200
2022-05-10,49.709999,50.240002,49.150002,49.549999,48.270378,21741100
2022-05-11,49.090000,49.639999,48.580002,48.650002,47.393623,23872100
2022-05-12,48.630001,48.779999,47.470001,48.290001,47.042919,25951000
2022-05-13,48.709999,49.630001,48.529999,49.560001,48.280121,18954500
2022-05-16,49.660000,49.660000,48.880001,49.000000,47.734585,20254500
2022-05-17,49.680000,50.720001,49.509998,50.599998,49.293259,18780600
2022-05-18,50.470001,50.470001,48.209999,48.360001,47.111111,40672700
2022-05-19,43.060001,43.930000,41.020000,41.720001,40.642586,97674600
2022-05-20,41.860001,43.000000,41.520000,42.939999,41.831078,46148700
2022-05-23,43.340000,43.820000,42.939999,43.349998,42.230492,27366600
2022-05-24,43.400002,44.060001,42.500000,43.770000,42.639648,30053900
2022-05-25,43.750000,44.419998,43.189999,44.000000,42.863705,25504600
2022-05-26,44.049999,45.529999,44.049999,44.990002,43.828140,28294700
2022-05-27,45.119999,45.639999,44.950001,45.619999,44.441868,23882100
2022-05-31,45.270000,45.610001,44.740002,45.049999,43.886585,64821200
2022-06-01,45.549999,45.799999,44.770000,45.230000,44.061939,20666000
2022-06-02,45.180000,45.799999,44.900002,45.790001,44.607483,20546800
2022-06-03,45.549999,45.740002,45.119999,45.250000,44.081425,17947000
2022-06-06,45.599998,46.090000,45.130001,45.330002,44.159363,12641900
2022-06-07,44.820000,45.650002,44.720001,45.570000,44.393162,14667200
2022-06-08,45.450001,45.630001,44.880001,44.919998,43.759945,16263800
2022-06-09,44.830002,45.270000,44.240002,44.259998,43.116989,18417700
2022-06-10,43.799999,43.990002,43.290001,43.490002,42.366879,20262400
2022-06-13,43.060001,43.840000,42.889999,43.240002,42.123333,29050800
2022-06-14,43.630001,43.700001,42.570000,42.910000,41.801857,22499100
2022-06-15,43.369999,44.430000,43.099998,43.799999,42.668869,22525100
2022-06-16,42.810001,43.410000,42.810001,43.320000,42.201267,27049000
2022-06-17,43.360001,44.000000,43.240002,43.389999,42.269459,59678600
2022-06-21,43.810001,44.279999,43.700001,44.139999,43.000088,23277900
2022-06-22,43.470001,44.119999,43.169998,43.570000,42.444813,19942300
2022-06-23,43.410000,43.459999,42.720001,42.930000,41.821335,33801700
2022-06-24,43.439999,44.220001,43.240002,44.099998,42.961121,30543800
2022-06-27,44.290001,44.290001,43.630001,43.770000,42.639648,22755300
2022-06-28,43.910000,44.470001,42.990002,43.060001,41.947983,20091300
2022-06-29,43.139999,43.259998,42.689999,42.880001,41.772629,13450800
2022-06-30,42.369999,43.139999,42.189999,42.639999,41.538826,24947900
